product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/sparx-sl-194-running-shoes-women/p/itm519afe456ac85?pid=SHOGYJGZGZZSZMAQ&lid=LSTSHOGYJGZGZZSZMAQAFXMU2&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=en_3fJSCnYB-leJtRm3fPuVZICdweiAtIan4DDYlAyn9OBE1ap9oQKJkCaX6_LKqZh9wav9bWrCK6Q6XE9q_6b8oQ%3D%3D&ppt=sp&ppn=sp&ssid=w1h8cdk4ls0000001760522617811&qH=32e27b1148959538,SL 194 Running Shoes For Women,Sparx ,659,0.4,4.2,8482
https://www.flipkart.com/adidas-lite-racer-4-0-running-shoes-women/p/itm036862267143c?pid=SHOH29T6PHXRFJCS&lid=LSTSHOH29T6PHXRFJCS2OBXHJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=en_3fJSCnYB-leJtRm3fPuVZICdweiAtIan4DDYlAyn9ODuPH8QFvKlKNaiGiG4a77Z6VXaRAWKM25-2ffUVV5K5YQEIsITtCzc4bHaOMTqL08%3D&ppt=sp&ppn=sp&ssid=w1h8cdk4ls0000001760522617811&qH=32e27b1148959538,LITE RACER 4.0 Running Shoes For Women,ADIDAS ,2083,0.62,4.1,81
https://www.flipkart.com/red-tape-women-s-athleisure-sports-shoes-active-everyday-style-walking-women/p/itmd0ec9eeec50f1?pid=SHOHF678C9YXGKWZ&lid=LSTSHOHF678C9YXGKWZVBWBWO&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=43029a55-7df3-4751-931b-106b7b11c860.SHOHF678C9YXGKWZ.SEARCH&ppt=sp&ppn=sp&ssid=w1h8cdk4ls0000001760522617811&qH=32e27b1148959538,Women's Athleisure Sports Shoes for Active Everyday Style Walking Shoes For Women,RED TAPE ,1097,0.82,4.3,1358
https://www.flipkart.com/deals4you-sneakers-women/p/itm2679159693015?pid=SHOGF8RGGUKCYQXH&lid=LSTSHOGF8RGGUKCYQXHNXZXJD&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=43029a55-7df3-4751-931b-106b7b11c860.SHOGF8RGGUKCYQXH.SEARCH&ppt=sp&ppn=sp&ssid=w1h8cdk4ls0000001760522617811&qH=32e27b1148959538,Sneakers For Women,Deals4you ,407,0.72,3.9,4381
https://www.flipkart.com/adidas-dash-fun-w-running-shoes-women/p/itmb5fb5241261b4?pid=SHOHB2GVYDRWFWCQ&lid=LSTSHOHB2GVYDRWFWCQFGFGNI&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=en_3fJSCnYB-leJtRm3fPuVZICdweiAtIan4DDYlAyn9OBfIWy0i_0Ddlwbz0TBgpWZ0KylnoXFvHEIKS0czEhl0I06z3QAm4-AoFL_C4Jep-g%3D&ppt=sp&ppn=sp&ssid=w1h8cdk4ls0000001760522617811&qH=32e27b1148959538,Dash-Fun W Running Shoes For Women,ADIDAS ,2809,0.49,4.3,142
https://www.flipkart.com/adidas-response-super-w-running-shoes-women/p/itmb416807e31137?pid=SHOHFCFYPJDFVGKZ&lid=LSTSHOHFCFYPJDFVGKZ7NNPNR&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=en_3fJSCnYB-leJtRm3fPuVZICdweiAtIan4DDYlAyn9OC_sT2aCLo64ht71t9W5OUmeHsWP_MK57tmtVmuHg4bUDRKtQQVWB8eNWYNLe7VuyQ%3D&ppt=sp&ppn=sp&ssid=w1h8cdk4ls0000001760522617811&qH=32e27b1148959538,RESPONSE SUPER W Running Shoes For Women,ADIDAS ,3278,0.63,4.2,59
https://www.flipkart.com/fabbmate-trendy-sports-walking-memory-foam-running-shoes-women/p/itmc5814f4e2a802?pid=SHOGH3YUZDZYEJ5Q&lid=LSTSHOGH3YUZDZYEJ5Q1PSPNZ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_BestsellerId_osp%2Fiko%2Fd20&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=43029a55-7df3-4751-931b-106b7b11c860.SHOGH3YUZDZYEJ5Q.SEARCH&ppt=sp&ppn=sp&ssid=w1h8cdk4ls0000001760522617811&qH=32e27b1148959538,"Trendy Sports,Walking - Memory Foam Running Shoes For Women",Fabbmate ,327,0.59,4,127811
https://www.flipkart.com/asian-cute-sports-shoes-women-running-girls-stylish-latest-design-new-fashion-casual-sneakers-ladies-lace-up-lightweight-pink-jogging-walking-gym-party/p/itmfgnquqjghwjzc?pid=SHOEEF3Q6KWZSSHR&lid=LSTSHOEEF3Q6KWZSSHR9BCABN&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=43029a55-7df3-4751-931b-106b7b11c860.SHOEEF3Q6KWZSSHR.SEARCH&ppt=sp&ppn=sp&ssid=w1h8cdk4ls0000001760522617811&qH=32e27b1148959538,"Cute sports shoes for women | Running shoes for girls stylish latest design new fashion | casual sneakers for ladies | Lace up Lightweight pink shoes for jogging, walking, gym & party Running Shoes For Women",asian ,659,0.17,4.2,96729
https://www.flipkart.com/red-tape-women-s-athleisure-sports-shoes-active-everyday-style-walking-women/p/itm84aa77addec4a?pid=SHOHF638KYBUWBHK&lid=LSTSHOHF638KYBUWBHKBFD8WW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=43029a55-7df3-4751-931b-106b7b11c860.SHOHF638KYBUWBHK.SEARCH&ppt=sp&ppn=sp&ssid=w1h8cdk4ls0000001760522617811&qH=32e27b1148959538,Women's Athleisure Sports Shoes for Active Everyday Style Walking Shoes For Women,RED TAPE ,1146,0.81,4.3,1358
https://www.flipkart.com/asian-mercury-11-mint-sports-gym-walking-training-stylish-running-shoes-women/p/itmd59c8ace18690?pid=SHOGPDFBE33W7UXG&lid=LSTSHOGPDFBE33W7UXGUCX0RG&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=43029a55-7df3-4751-931b-106b7b11c860.SHOGPDFBE33W7UXG.SEARCH&ppt=sp&ppn=sp&ssid=w1h8cdk4ls0000001760522617811&qH=32e27b1148959538,"Mercury-11 Mint Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian ,788,0.24,4.2,96729
